hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457850.77804,bd,V,13.54,0.02189,14.715,0.296
2457342.96822,bd,V,13.483,0.02185,15.508,0.312
2457065.89789,bd,V,13.779,0.02257,11.816,0.245
2457881.73797,bd,V,13.529,0.02188,14.876,0.299
2456989.01589,bd,V,13.544,0.0219,14.662,0.295
2456730.76256,bd,V,13.567,0.02193,14.358,0.29
2457361.07368,bd,V,13.47,0.02185,15.694,0.315
2457315.08836,bd,V,13.61,0.02201,13.806,0.28
2457114.85439,bd,V,13.791,0.02262,11.687,0.243
2458061.00141,bd,V,13.525,0.02188,14.92,0.3
2457679.05595,bd,V,13.648,0.0221,13.331,0.271
2457395.98432,bd,V,13.503,0.02186,15.224,0.306
2457076.749,bd,V,13.845,0.0229,11.115,0.234
2457844.8475,bd,V,13.491,0.02185,15.393,0.309
2457457.7914,bd,V,13.495,0.02186,15.341,0.308
2458409.08643,bd,V,13.493,0.02185,15.372,0.309
2458141.78926,bd,V,13.965,0.02365,9.954,0.217
2458125.01778,bd,V,13.731,0.02237,12.346,0.254
2457870.76613,bd,V,13.574,0.02194,14.273,0.288
2457805.96649,bd,V,13.593,0.02197,14.021,0.283
2457855.77957,bd,V,13.561,0.02192,14.441,0.291
2457434.79945,bd,V,13.414,0.02186,16.529,0.332
2457388.92425,bd,V,13.481,0.02185,15.542,0.312
2458401.13834,bd,V,13.507,0.02186,15.177,0.305
2457432.80658,bd,V,13.395,0.02188,16.831,0.339
2457399.92907,bd,V,13.519,0.02187,15.006,0.302
2458132.03249,bd,V,13.876,0.02307,10.799,0.229
2458018.12267,bd,V,13.511,0.02186,15.121,0.304
2457441.9282,bd,V,13.385,0.02189,16.974,0.342
2457359.09982,bd,V,13.459,0.02185,15.863,0.319
2457099.7946,bd,V,13.796,0.02265,11.631,0.242
2457032.93763,bd,V,13.612,0.02201,13.77,0.279
2457030.94076,bd,V,13.625,0.02204,13.607,0.276
2457826.75953,bd,V,13.575,0.02194,14.259,0.288
2457304.0869,bd,V,13.617,0.02202,13.715,0.278
2458055.01827,bd,V,13.531,0.02188,14.846,0.299
2457777.96887,bd,V,13.54,0.02189,14.723,0.297
2457325.01796,bd,V,13.566,0.02193,14.371,0.29
2457882.7343,bd,V,13.557,0.02191,14.496,0.292
2457651.1418,bd,V,13.779,0.02257,11.806,0.245
2457482.83747,bd,V,13.539,0.02189,14.739,0.297
2458071.15285,bd,V,13.563,0.02192,14.418,0.291
2457119.83953,bd,V,13.827,0.0228,11.301,0.237
2457003.99667,bd,V,13.637,0.02207,13.458,0.273
2457798.89297,bd,V,13.461,0.02185,15.827,0.318
2457402.85421,bd,V,13.558,0.02191,14.48,0.292
2457802.9735,bd,V,13.527,0.02188,14.903,0.3
2457125.81091,bd,V,13.852,0.02293,11.04,0.233
2457098.87291,bd,V,13.791,0.02262,11.687,0.243
2458436.97349,bd,V,13.657,0.02212,13.213,0.269
2458372.13115,bd,V,13.507,0.02186,15.174,0.305
2457842.85808,bd,V,13.487,0.02185,15.462,0.311
2457511.74843,bd,V,13.676,0.02218,12.989,0.265
2457444.87078,bd,V,13.375,0.0219,17.144,0.345
2457413.98796,bd,V,13.524,0.02188,14.939,0.301
2457707.98497,bd,V,13.581,0.02195,14.181,0.286
2456736.82058,bd,V,13.591,0.02197,14.045,0.284
2456648.9822,bd,V,13.719,0.02232,12.488,0.256
2457463.81175,bd,V,13.53,0.02188,14.853,0.299
2457460.7588,bd,V,13.505,0.02186,15.203,0.306
2457446.85208,bd,V,13.4,0.02188,16.75,0.337
2457407.99333,bd,V,13.553,0.02191,14.54,0.293
2456939.08922,bd,V,13.457,0.02185,15.895,0.319
2458135.80796,bd,V,13.914,0.0233,10.431,0.224
2458133.81736,bd,V,13.874,0.02306,10.826,0.23
2458127.08744,bd,V,13.771,0.02253,11.903,0.247
2458097.10171,bd,V,13.942,0.02349,10.168,0.22
2457344.96532,bd,V,13.484,0.02185,15.503,0.312
2457071.87909,bd,V,13.825,0.02279,11.324,0.237
2458418.04189,bd,V,13.497,0.02186,15.317,0.308
2457670.07126,bd,V,13.728,0.02236,12.375,0.255
2457499.77963,bd,V,13.529,0.02188,14.87,0.299
2457128.78241,bd,V,13.843,0.02289,11.135,0.234
2457406.97062,bd,V,13.538,0.02189,14.742,0.297
2457038.94738,bd,V,13.651,0.02211,13.294,0.27
2457832.89156,bd,V,13.499,0.02186,15.284,0.307
2457773.92189,bd,V,13.575,0.02194,14.255,0.288
2456984.0137,bd,V,13.57,0.02193,14.315,0.289
2457310.06487,bd,V,13.617,0.02202,13.707,0.278
2457308.06215,bd,V,13.622,0.02203,13.65,0.277
2458407.06014,bd,V,13.519,0.02187,15.013,0.302
2457756.95988,bd,V,13.616,0.02202,13.721,0.278
2457700.02357,bd,V,13.628,0.02205,13.578,0.275
2457476.86026,bd,V,13.563,0.02192,14.415,0.291
2457385.99894,bd,V,13.49,0.02185,15.419,0.31
2457132.77671,bd,V,13.855,0.02295,11.008,0.232
2457418.01619,bd,V,13.515,0.02187,15.058,0.303
2457692.10464,bd,V,13.67,0.02216,13.058,0.266
2457043.92362,bd,V,13.666,0.02215,13.109,0.267
2456993.92762,bd,V,13.57,0.02193,14.325,0.289
2458185.83613,bd,V,14.068,0.02446,9.048,0.204
2457879.74127,bd,V,13.568,0.02193,14.344,0.289
2457468.77508,bd,V,13.557,0.02191,14.489,0.292
2457377.89742,bd,V,13.539,0.02189,14.729,0.297
2457366.9275,bd,V,13.527,0.02188,14.902,0.3
2456992.95424,bd,V,13.535,0.02189,14.793,0.298
2457064.89331,bd,V,13.758,0.02248,12.045,0.249
2457423.01424,bd,V,13.455,0.02185,15.917,0.32
2456932.13287,bd,V,13.543,0.0219,14.674,0.296
2456788.74391,bd,V,13.438,0.02185,16.171,0.325
2456655.91629,bd,V,13.745,0.02242,12.189,0.251
2457404.88961,bd,V,13.542,0.02189,14.689,0.296
2457314.04749,bd,V,13.617,0.02202,13.708,0.278
2457321.03448,bd,V,13.621,0.02203,13.659,0.277
2457037.03853,bd,V,13.673,0.02217,13.017,0.266
2457495.78274,bd,V,13.517,0.02187,15.033,0.302
2457363.04744,bd,V,13.482,0.02185,15.521,0.312
2457049.91433,bd,V,13.689,0.02222,12.831,0.262
2458123.97186,bd,V,13.712,0.0223,12.563,0.258
2457333.12962,bd,V,13.488,0.02185,15.447,0.311
2457144.75747,bd,V,13.889,0.02315,10.675,0.227
2457105.87307,bd,V,13.794,0.02264,11.647,0.243
2457009.13721,bd,V,13.611,0.02201,13.793,0.279
2458428.02417,bd,V,13.599,0.02198,13.943,0.282
2457722.02385,bd,V,13.541,0.02189,14.703,0.296
2457509.75555,bd,V,13.67,0.02216,13.065,0.266
2457442.78236,bd,V,13.365,0.02192,17.288,0.349
2457408.78332,bd,V,13.52,0.02187,14.994,0.302
2457012.98336,bd,V,13.593,0.02197,14.015,0.283
2457841.86545,bd,V,13.487,0.02185,15.456,0.311
2457816.82624,bd,V,13.668,0.02215,13.077,0.267
2457042.93837,bd,V,13.683,0.0222,12.898,0.263
2457762.08328,bd,V,13.587,0.02196,14.093,0.285
2457392.96433,bd,V,13.46,0.02185,15.843,0.318
2457020.90432,bd,V,13.527,0.02188,14.892,0.3
2457863.79208,bd,V,13.57,0.02193,14.325,0.289
2457415.97372,bd,V,13.522,0.02187,14.963,0.301
2457480.83743,bd,V,13.525,0.02188,14.918,0.3
2457430.84409,bd,V,13.412,0.02187,16.567,0.333
2457096.87241,bd,V,13.786,0.0226,11.736,0.244
2457045.92811,bd,V,13.675,0.02218,13.005,0.265
2457036.0678,bd,V,13.627,0.02205,13.585,0.276
2457506.7623,bd,V,13.625,0.02204,13.612,0.276
2457419.89931,bd,V,13.478,0.02185,15.592,0.313
2457040.93519,bd,V,13.661,0.02213,13.165,0.268
2456631.89371,bd,V,13.65,0.0221,13.305,0.271
2457653.11848,bd,V,13.801,0.02267,11.575,0.241
2458130.07713,bd,V,13.827,0.0228,11.3,0.237
2457288.11324,bd,V,13.437,0.02185,16.184,0.325
2457091.81067,bd,V,13.793,0.02263,11.662,0.243
2456990.99555,bd,V,13.57,0.02193,14.314,0.289
2457472.87253,bd,V,13.555,0.02191,14.521,0.293
2457871.76643,bd,V,13.579,0.02195,14.203,0.287
2458062.9972,bd,V,13.517,0.02187,15.034,0.302
2457835.88019,bd,V,13.473,0.02185,15.664,0.315
2457433.79904,bd,V,13.413,0.02186,16.549,0.333
2457859.79484,bd,V,13.588,0.02196,14.084,0.285
2457451.86801,bd,V,13.421,0.02186,16.418,0.33
2457782.89854,bd,V,13.451,0.02185,15.981,0.321
2457769.99966,bd,V,13.604,0.02199,13.874,0.281
2457687.12244,bd,V,13.646,0.02209,13.356,0.271
2458169.72441,bd,V,13.97,0.02369,9.908,0.216
2458138.80347,bd,V,13.946,0.02352,10.127,0.219
2456933.0684,bd,V,13.566,0.02193,14.367,0.29
2457880.74156,bd,V,13.537,0.02189,14.754,0.297
2457508.75895,bd,V,13.639,0.02207,13.436,0.273
2456924.11472,bd,V,13.525,0.02188,14.919,0.3
2458444.14346,bd,V,13.631,0.02206,13.534,0.275
2458056.01791,bd,V,13.537,0.02189,14.758,0.297
2458028.09102,bd,V,13.561,0.02192,14.441,0.291
2457418.95192,bd,V,13.517,0.02187,15.039,0.303
2457298.09725,bd,V,13.55,0.0219,14.587,0.294
2457397.92468,bd,V,13.525,0.02188,14.919,0.3
2457318.0512,bd,V,13.588,0.02196,14.078,0.284
2458132.8202,bd,V,13.88,0.02309,10.762,0.229
2457427.88141,bd,V,13.407,0.02187,16.643,0.335
2457365.90829,bd,V,13.542,0.02189,14.698,0.296
2457017.96881,bd,V,13.55,0.0219,14.59,0.294
2456987.0183,bd,V,13.537,0.02189,14.757,0.297
2457297.094,bd,V,13.547,0.0219,14.619,0.295
2457069.89719,bd,V,13.79,0.02262,11.691,0.243
2458128.08804,bd,V,13.798,0.02266,11.607,0.242
2458057.01603,bd,V,13.515,0.02187,15.057,0.303
2456935.11604,bd,V,13.567,0.02193,14.364,0.29
2457800.81686,bd,V,13.493,0.02185,15.374,0.309
2457644.13234,bd,V,13.726,0.02235,12.399,0.255
2457131.78349,bd,V,13.848,0.02291,11.088,0.234
2457121.82045,bd,V,13.831,0.02282,11.258,0.236
2456967.97993,bd,V,13.62,0.02203,13.68,0.277
2457368.9964,bd,V,13.527,0.02188,14.895,0.3
2458154.00717,bd,V,14.011,0.02399,9.537,0.211
2458143.77077,bd,V,13.999,0.0239,9.647,0.212
2457837.87272,bd,V,13.468,0.02185,15.723,0.316
2458129.08447,bd,V,13.792,0.02263,11.666,0.243
2457702.13306,bd,V,13.637,0.02207,13.466,0.273
2458380.12908,bd,V,13.518,0.02187,15.028,0.302
2458134.80609,bd,V,13.899,0.02321,10.581,0.226
2457825.90209,bd,V,13.573,0.02194,14.277,0.288
2457503.77289,bd,V,13.582,0.02195,14.165,0.286
2457373.90462,bd,V,13.551,0.02191,14.574,0.294
2457299.08598,bd,V,13.564,0.02192,14.402,0.29
2457051.90288,bd,V,13.675,0.02218,12.998,0.265
2457807.95128,bd,V,13.617,0.02202,13.706,0.278
2457705.00008,bd,V,13.636,0.02207,13.48,0.274
2456982.02731,bd,V,13.569,0.02193,14.327,0.289
2456741.81587,bd,V,13.603,0.02199,13.888,0.281
2458054.02234,bd,V,13.561,0.02192,14.44,0.291
2457787.90806,bd,V,13.402,0.02187,16.718,0.336
2457697.08449,bd,V,13.662,0.02214,13.153,0.268
2457077.86983,bd,V,13.851,0.02293,11.051,0.233
2458442.03787,bd,V,13.622,0.02203,13.647,0.277
2458023.10422,bd,V,13.517,0.02187,15.035,0.302
2458414.04032,bd,V,13.53,0.02188,14.854,0.299
2458060.00548,bd,V,13.513,0.02187,15.088,0.304
2457762.82137,bd,V,13.581,0.02195,14.174,0.286
2457453.85262,bd,V,13.446,0.02185,16.05,0.323
2456676.76407,bd,V,13.536,0.02189,14.769,0.297
2457786.76615,bd,V,13.394,0.02188,16.834,0.339
2457781.0268,bd,V,13.46,0.02185,15.844,0.318
2457510.75571,bd,V,13.658,0.02213,13.201,0.269
2457449.89592,bd,V,13.428,0.02186,16.326,0.328
2458433.08608,bd,V,13.64,0.02208,13.42,0.273
2457877.73305,bd,V,13.583,0.02195,14.148,0.286
2457390.92512,bd,V,13.497,0.02186,15.313,0.308
2458126.08322,bd,V,13.779,0.02257,11.813,0.245
2458062.00122,bd,V,13.535,0.02189,14.793,0.298
2458046.09699,bd,V,13.603,0.02199,13.892,0.281
2457869.77755,bd,V,13.561,0.02192,14.438,0.291
2457126.78296,bd,V,13.842,0.02288,11.147,0.235
2457101.87582,bd,V,13.804,0.02269,11.545,0.241
2457323.03381,bd,V,13.598,0.02198,13.958,0.282
2457113.83041,bd,V,13.826,0.0228,11.306,0.237
2457878.73712,bd,V,13.544,0.0219,14.663,0.295
2457429.85963,bd,V,13.423,0.02186,16.397,0.33
2457829.8678,bd,V,13.521,0.02187,14.986,0.302
2457671.09347,bd,V,13.687,0.02221,12.861,0.263
2457425.01103,bd,V,13.445,0.02185,16.061,0.323
2457149.73224,bd,V,13.883,0.02311,10.73,0.228
2457513.74498,bd,V,13.69,0.02222,12.818,0.262
2457676.05341,bd,V,13.606,0.022,13.85,0.28
2457388.03389,bd,V,13.462,0.02185,15.814,0.318
2457488.78949,bd,V,13.493,0.02185,15.372,0.309
2457324.15578,bd,V,13.571,0.02193,14.307,0.289
2457048.92893,bd,V,13.655,0.02212,13.245,0.27
2457034.93621,bd,V,13.631,0.02206,13.539,0.275
2456978.96948,bd,V,13.596,0.02198,13.98,0.283
